Week	L	M	S	SD	SD3neg	SD2neg	SD1neg	SD0	SD1	SD2	SD3
0	1	49.1477	0.03790	1.8627	43.6	45.4	47.3	49.1	51.0	52.9	54.7
1	1	50.3298	0.03742	1.8833	44.7	46.6	48.4	50.3	52.2	54.1	56.0
2	1	51.5120	0.03694	1.9029	45.8	47.7	49.6	51.5	53.4	55.3	57.2
3	1	52.4695	0.03669	1.9251	46.7	48.6	50.5	52.5	54.4	56.3	58.2
4	1	53.3809	0.03647	1.9468	47.5	49.5	51.4	53.4	55.3	57.3	59.2
5	1	54.2454	0.03627	1.9675	48.3	50.3	52.3	54.2	56.2	58.2	60.1
6	1	55.0642	0.03609	1.9873	49.1	51.1	53.1	55.1	57.1	59.0	61.0
7	1	55.8406	0.03593	2.0064	49.8	51.8	53.8	55.8	57.8	59.9	61.9
8	1	56.5767	0.03578	2.0243	50.5	52.5	54.6	56.6	58.6	60.6	62.6
9	1	57.2761	0.03564	2.0413	51.2	53.2	55.2	57.3	59.3	61.4	63.4
10	1	57.9436	0.03552	2.0582	51.8	53.8	55.9	57.9	60.0	62.1	64.1
11	1	58.5816	0.03540	2.0738	52.4	54.4	56.5	58.6	60.7	62.7	64.8
12	1	59.1922	0.03530	2.0895	52.9	55.0	57.1	59.2	61.3	63.4	65.5
13	1	59.7773	0.03520	2.1042	53.5	55.6	57.7	59.8	61.9	64.0	66.1
