Week	L	M	S	SD3neg	SD2neg	SD1neg	SD0	SD1	SD2	SD3
0	0.3809	3.2322	0.14171	2.0	2.4	2.8	3.2	3.7	4.2	4.8
1	0.2671	3.3388	0.14600	2.1	2.5	2.9	3.3	3.9	4.4	5.1
2	0.2304	3.5693	0.14339	2.3	2.7	3.1	3.6	4.1	4.7	5.4
3	0.2024	3.8352	0.14060	2.5	2.9	3.3	3.8	4.4	5.0	5.7
4	0.1789	4.0987	0.13805	2.7	3.1	3.6	4.1	4.7	5.4	6.1
5	0.1582	4.3476	0.13583	2.9	3.3	3.8	4.3	5.0	5.7	6.5
6	0.1395	4.5793	0.13392	3.0	3.5	4.0	4.6	5.2	6.0	6.8
7	0.1224	4.7950	0.13228	3.2	3.7	4.2	4.8	5.5	6.2	7.1
8	0.1065	4.9959	0.13087	3.3	3.8	4.4	5.0	5.7	6.5	7.3
9	0.0918	5.1842	0.12966	3.5	4.0	4.6	5.2	5.9	6.7	7.6
10	0.0779	5.3618	0.12861	3.6	4.1	4.7	5.4	6.1	6.9	7.8
11	0.0648	5.5295	0.12770	3.8	4.3	4.9	5.5	6.3	7.1	8.1
12	0.0525	5.6883	0.12691	3.9	4.4	5.0	5.7	6.5	7.3	8.3
13	0.0407	5.8393	0.12622	4.0	4.5	5.1	5.8	6.6	7.5	8.5
