Length	L	M	S	SD3neg	SD2neg	SD1neg	SD0	SD1	SD2	SD3
45	-0.3833	2.4607	0.09029	1.9	2.1	2.3	2.5	2.7	3.0	3.3
45.5	-0.3833	2.5457	0.09033	2.0	2.1	2.3	2.5	2.8	3.1	3.4
46	-0.3833	2.6306	0.09037	2.0	2.2	2.4	2.6	2.9	3.2	3.5
46.5	-0.3833	2.7155	0.09040	2.1	2.3	2.5	2.7	3.0	3.3	3.6
47	-0.3833	2.8007	0.09044	2.2	2.4	2.6	2.8	3.1	3.4	3.7
47.5	-0.3833	2.8867	0.09048	2.2	2.4	2.6	2.9	3.2	3.5	3.8
48	-0.3833	2.9741	0.09052	2.3	2.5	2.7	3.0	3.3	3.6	4.0
48.5	-0.3833	3.0636	0.09056	2.4	2.6	2.8	3.1	3.4	3.7	4.1
49	-0.3833	3.1560	0.09060	2.4	2.6	2.9	3.2	3.5	3.8	4.2
49.5	-0.3833	3.2520	0.09064	2.5	2.7	3.0	3.3	3.6	3.9	4.3
50	-0.3833	3.3518	0.09068	2.6	2.8	3.1	3.4	3.7	4.0	4.5
50.5	-0.3833	3.4557	0.09072	2.7	2.9	3.2	3.5	3.8	4.2	4.6
51	-0.3833	3.5636	0.09076	2.8	3.0	3.3	3.6	3.9	4.3	4.8
51.5	-0.3833	3.6754	0.09080	2.8	3.1	3.4	3.7	4.0	4.4	4.9
52	-0.3833	3.7911	0.09085	2.9	3.2	3.5	3.8	4.2	4.6	5.1
52.5	-0.3833	3.9105	0.09089	3.0	3.3	3.6	3.9	4.3	4.7	5.2
53	-0.3833	4.0332	0.09093	3.1	3.4	3.7	4.0	4.4	4.9	5.4
53.5	-0.3833	4.1591	0.09098	3.2	3.5	3.8	4.2	4.6	5.0	5.5
54	-0.3833	4.2875	0.09102	3.3	3.6	3.9	4.3	4.7	5.2	5.7
54.5	-0.3833	4.4179	0.09106	3.4	3.7	4.0	4.4	4.8	5.3	5.9
55	-0.3833	4.5498	0.09110	3.5	3.8	4.2	4.5	5.0	5.5	6.1
55.5	-0.3833	4.6827	0.09114	3.6	3.9	4.3	4.7	5.1	5.7	6.3
56	-0.3833	4.8162	0.09118	3.7	4.0	4.4	4.8	5.3	5.8	6.4
56.5	-0.3833	4.9500	0.09121	3.8	4.1	4.5	5.0	5.4	6.0	6.6
57	-0.3833	5.0837	0.09125	3.9	4.3	4.6	5.1	5.6	6.1	6.8
57.5	-0.3833	5.2173	0.09128	4.0	4.4	4.8	5.2	5.7	6.3	7.0
58	-0.3833	5.3507	0.09130	4.1	4.5	4.9	5.4	5.9	6.5	7.1
58.5	-0.3833	5.4834	0.09132	4.2	4.6	5.0	5.5	6.0	6.6	7.3
59	-0.3833	5.6151	0.09134	4.3	4.7	5.1	5.6	6.2	6.8	7.5
59.5	-0.3833	5.7454	0.09135	4.4	4.8	5.3	5.7	6.3	6.9	7.7
60	-0.3833	5.8742	0.09136	4.5	4.9	5.4	5.9	6.4	7.1	7.8
60.5	-0.3833	6.0014	0.09137	4.6	5.0	5.5	6.0	6.6	7.3	8.0
61	-0.3833	6.1270	0.09137	4.7	5.1	5.6	6.1	6.7	7.4	8.2
61.5	-0.3833	6.2511	0.09136	4.8	5.2	5.7	6.3	6.9	7.6	8.4
62	-0.3833	6.3738	0.09135	4.9	5.3	5.8	6.4	7.0	7.7	8.5
62.5	-0.3833	6.4948	0.09133	5.0	5.4	5.9	6.5	7.1	7.8	8.7
63	-0.3833	6.6144	0.09131	5.1	5.5	6.0	6.6	7.3	8.0	8.8
63.5	-0.3833	6.7328	0.09129	5.2	5.6	6.2	6.7	7.4	8.1	9.0
64	-0.3833	6.8501	0.09126	5.3	5.7	6.3	6.9	7.5	8.3	9.1
64.5	-0.3833	6.9662	0.09123	5.4	5.8	6.4	7.0	7.6	8.4	9.3
65	-0.3833	7.0812	0.09119	5.5	5.9	6.5	7.1	7.8	8.6	9.5
65.5	-0.3833	7.1950	0.09115	5.5	6.0	6.6	7.2	7.9	8.7	9.6
66	-0.3833	7.3076	0.09110	5.6	6.1	6.7	7.3	8.0	8.8	9.8
66.5	-0.3833	7.4189	0.09106	5.7	6.2	6.8	7.4	8.1	9.0	9.9
67	-0.3833	7.5288	0.09101	5.8	6.3	6.9	7.5	8.3	9.1	10.0
67.5	-0.3833	7.6375	0.09096	5.9	6.4	7.0	7.6	8.4	9.2	10.2
68	-0.3833	7.7448	0.09090	6.0	6.5	7.1	7.7	8.5	9.4	10.3
68.5	-0.3833	7.8509	0.09085	6.1	6.6	7.2	7.9	8.6	9.5	10.5
69	-0.3833	7.9559	0.09079	6.1	6.7	7.3	8.0	8.7	9.6	10.6
69.5	-0.3833	8.0599	0.09074	6.2	6.8	7.4	8.1	8.8	9.7	10.7
70	-0.3833	8.1630	0.09068	6.3	6.9	7.5	8.2	9.0	9.9	10.9
70.5	-0.3833	8.2651	0.09062	6.4	6.9	7.6	8.3	9.1	10.0	11.0
71	-0.3833	8.3666	0.09056	6.5	7.0	7.7	8.4	9.2	10.1	11.1
71.5	-0.3833	8.4676	0.09050	6.5	7.1	7.7	8.5	9.3	10.2	11.3
72	-0.3833	8.5679	0.09043	6.6	7.2	7.8	8.6	9.4	10.3	11.4
72.5	-0.3833	8.6674	0.09037	6.7	7.3	7.9	8.7	9.5	10.5	11.5
73	-0.3833	8.7661	0.09031	6.8	7.4	8.0	8.8	9.6	10.6	11.7
73.5	-0.3833	8.8638	0.09025	6.9	7.4	8.1	8.9	9.7	10.7	11.8
74	-0.3833	8.9601	0.09018	6.9	7.5	8.2	9.0	9.8	10.8	11.9
74.5	-0.3833	9.0552	0.09012	7.0	7.6	8.3	9.1	9.9	10.9	12.0
75	-0.3833	9.1490	0.09005	7.1	7.7	8.4	9.1	10.0	11.0	12.2
75.5	-0.3833	9.2418	0.08999	7.1	7.8	8.5	9.2	10.1	11.1	12.3
76	-0.3833	9.3337	0.08992	7.2	7.8	8.5	9.3	10.2	11.2	12.4
76.5	-0.3833	9.4252	0.08985	7.3	7.9	8.6	9.4	10.3	11.4	12.5
77	-0.3833	9.5166	0.08979	7.4	8.0	8.7	9.5	10.4	11.5	12.6
77.5	-0.3833	9.6086	0.08972	7.4	8.1	8.8	9.6	10.5	11.6	12.8
