"","year","iso3","nid","survey_series","drop.mn","drop.wn","drop.both"
"1",2016,"AFG",157018,"MACRO_DHS",0,0,0
"3",2006,"AFG",18468,"COUNTRY_SPECIFIC",1,1,1
"5",2010,"AFG",56099,"MACRO_DHS",NA,0,0
"6",2010,"AFG",56830,"UNICEF_MICS",0,0,0
"8",2015,"AGO",218555,"MACRO_DHS",0,0,0
"10",2016,"AGO",218555,"MACRO_DHS",0,0,0
"12",2007,"AGO",672,"MACRO_MIS",NA,0,0
"13",2001,"AGO",687,"UNICEF_MICS",0,0,0
"15",2013,"BDI",108080,"MACRO_MIS",0,0,0
"17",2005,"BDI",1981,"UNICEF_MICS",0,0,0
"19",2000,"BDI",1994,"UNICEF_MICS",0,0,0
"21",2016,"BDI",286766,"MACRO_DHS",0,0,0
"23",2010,"BDI",30431,"MACRO_DHS",0,0,0
"25",2001,"BEN",18950,"MACRO_DHS",0,0,0
"27",2006,"BEN",18959,"MACRO_DHS",0,0,0
"29",2011,"BEN",79839,"MACRO_DHS",0,0,0
"31",2014,"BFA",188785,"MACRO_MIS",NA,0,0
"32",1998,"BFA",19076,"MACRO_DHS",0,0,0
"34",2003,"BFA",19088,"MACRO_DHS",0,0,0
"36",2010,"BFA",19133,"MACRO_DHS",0,0,0
"38",2006,"BFA",1927,"UNICEF_MICS",0,0,0
"40",2006,"BFA",105403,"IPUMS_CENSUS",0,0,0
"42",2003,"BFA",21502,"WHO_WHS",0,0,0
"44",2012,"BGD",151086,"UNICEF_MICS",0,0,0
"46",2014,"BGD",157021,"MACRO_DHS",0,0,0
"48",2004,"BGD",18902,"MACRO_DHS",0,0,0
"50",2007,"BGD",18913,"MACRO_DHS",0,0,0
"52",2011,"BGD",55956,"MACRO_DHS",0,0,0
"54",2006,"BGD",951,"UNICEF_MICS",0,0,0
"56",1999,"BGD",26826,"MACRO_DHS",0,0,0
"58",2001,"BGD",105319,"IPUMS_CENSUS",0,0,0
"60",2011,"BGD",105320,"IPUMS_CENSUS",0,0,0
"62",2001,"BGD",18920,"MACRO_DHS",0,0,0
"64",2003,"BGD",21468,"WHO_WHS",0,0,0
"66",2006,"BLZ",1089,"UNICEF_MICS",0,0,0
"68",2013,"BLZ",314646,"COUNTRY_SPECIFIC",1,1,1
"70",2011,"BLZ",76699,"UNICEF_MICS",0,0,0
"72",2012,"BOL",298261,"COUNTRY_SPECIFIC",0,0,0
"74",2001,"BOL",1362,"IPUMS_CENSUS",0,0,0
"76",1998,"BOL",18971,"MACRO_DHS",0,0,0
"78",2008,"BOL",19016,"MACRO_DHS",0,0,0
"80",2003,"BOL",19001,"MACRO_DHS",0,0,0
"82",2000,"BOL",1289,"UNICEF_MICS",0,0,0
"84",2007,"BRA",111877,"COUNTRY_SPECIFIC",0,0,0
"86",2006,"BRA",111878,"COUNTRY_SPECIFIC",0,0,0
"88",2008,"BRA",130971,"COUNTRY_SPECIFIC",0,0,0
"90",2009,"BRA",130972,"COUNTRY_SPECIFIC",0,0,0
"92",2010,"BRA",130973,"COUNTRY_SPECIFIC",0,0,0
"94",2011,"BRA",130978,"COUNTRY_SPECIFIC",0,0,0
"96",2012,"BRA",141156,"COUNTRY_SPECIFIC",0,0,0
"98",2013,"BRA",156331,"COUNTRY_SPECIFIC",0,0,0
"100",2002,"BRA",1488,"COUNTRY_SPECIFIC",0,0,0
"102",2003,"BRA",1489,"COUNTRY_SPECIFIC",0,0,0
"104",2004,"BRA",1490,"COUNTRY_SPECIFIC",0,0,0
"106",2013,"BRA",195010,"COUNTRY_SPECIFIC",0,0,0
"108",2014,"BRA",238441,"COUNTRY_SPECIFIC",0,0,0
"110",2008,"BRA",33054,NA,0,0,0
"112",2005,"BRA",80311,"COUNTRY_SPECIFIC",0,0,0
"114",2008,"BRA",93487,"COUNTRY_SPECIFIC",0,0,0
"116",2007,"BRA",93490,"COUNTRY_SPECIFIC",0,0,0
"118",2010,"BRA",105322,"IPUMS_CENSUS",0,0,0
"120",2000,"BRA",38230,"IPUMS_CENSUS",0,0,0
"122",2003,"BRA",21489,"WHO_WHS",0,0,0
"124",2010,"BTN",40028,"UNICEF_MICS",0,0,0
"126",2005,"BTN",1175,"COUNTRY_SPECIFIC",0,1,0
"128",2000,"BWA",1404,"UNICEF_MICS",0,0,0
"130",2001,"BWA",294205,"IPUMS_CENSUS",0,0,0
"132",2011,"BWA",294235,"IPUMS_CENSUS",0,0,0
"134",2013,"BWA",134753,"COUNTRY_SPECIFIC",0,0,0
"136",2010,"CAF",82832,"UNICEF_MICS",0,0,0
